Classification task, alpha_SR,alpha_RI,alpha_RS, p_RD,n_aug code review dataset, n_aug GitHub issues dataset
CT1,0.2,0.1,0.05,0.05,4,4
,0.2,0.1,0.05,0.05,8,-
,0.2,0.05,0.05,0.05,4,4
,0.2,0.05,0.05,0.05,8,-
,0.05,0.1,0.05,0.05,4,4
,0.05,0.1,0.05,0.05,8,-
,0.05,0.05,0.05,0.05,4,4
,0.05,0.05,0.05,0.05,8,-
CT2,0.2,0.1,0.05,0.05,8,8
,0.2,0.1,0.05,0.05,16,16
,0.2,0.05,0.05,0.05,8,8
,0.2,0.05,0.05,0.05,16,16
,0.05,0.1,0.05,0.05,8,8
,0.05,0.1,0.05,0.05,16,16
,0.05,0.05,0.05,0.05,8,8
,0.05,0.05,0.05,0.05,16,16
