,issue_id,comment_id,comment_code,comment_body,previous_comment_id,previous_comment_code,previous_comment_body,concat_body,author_name,is_first_author_thread,nr_characters,ratio_words_email_thread,ratio_words_email_comment,position_sentence_comment,position_sentence_thread,is_last_comment,time_start_to_email,time_email_to_end,time_previous_to_email,time_email_to_next
0,10132,297910810,civil,Can you give indications on where the changes should happen and other indications?,297892801,technical,"We do plan to work on this issue but we don't have an ETA for when we'll be able to get to it. If people would like to help this happen sooner than we can get to it, we would be very interested in a well-written pull request.","We do plan to work on this issue but we don't have an ETA for when we'll be able to get to it. If people would like to help this happen sooner than we can get to it, we would be very interested in a well-written pull request. Can you give indications on where the changes should happen and other indications?",Abdullah Hilson,0,308,1.0,1.0,0.2,0.1,0,0.4489795918367347,0.5496598639455782,0.5510204081632653,0.45034013605442175
1,10132,297910810,civil,I am a bit lost in the source code,297892801,technical,"We do plan to work on this issue but we don't have an ETA for when we'll be able to get to it. If people would like to help this happen sooner than we can get to it, we would be very interested in a well-written pull request.","We do plan to work on this issue but we don't have an ETA for when we'll be able to get to it. If people would like to help this happen sooner than we can get to it, we would be very interested in a well-written pull request. I am a bit lost in the source code",Abdullah Hilson,0,260,0.9253731343283582,0.9253731343283582,0.2,0.1,0,0.4489795918367347,0.5496598639455782,0.5510204081632653,0.45034013605442175
2,10165,562312443,civil,My sincere apologies if I missed something.,562287197,technical,"I'm going to ask again that we keep the conversation respectful going forward and work towards resolving the problem - otherwise I'll lock the thread to let the conversation cool off.  As far as the issue itself goes, I'd again reiterate that I think its working as intended, but we do have the read only feature coming to address use cases like yours. If you disagree, I'd appreciate clarification on how you believe the feature is working right now and how you believe it should work.  FWIW, the relevant design is as follows:  Any time a ##vso command appears in stdout it is processed - regardless of where it appears in the output. If you set a variable twice, the second time you set it wins out. ##vso commands are wiped from the output (though you can see that they were successfully processed in diagnostic mode).","I'm going to ask again that we keep the conversation respectful going forward and work towards resolving the problem - otherwise I'll lock the thread to let the conversation cool off.  As far as the issue itself goes, I'd again reiterate that I think its working as intended, but we do have the read only feature coming to address use cases like yours. If you disagree, I'd appreciate clarification on how you believe the feature is working right now and how you believe it should work.  FWIW, the relevant design is as follows:  Any time a ##vso command appears in stdout it is processed - regardless of where it appears in the output. If you set a variable twice, the second time you set it wins out. ##vso commands are wiped from the output (though you can see that they were successfully processed in diagnostic mode). My sincere apologies if I missed something.",Hugh,0,866,1.0,1.0,0.125,0.125,0,1.0,0.0,0.06666666666666667,0.06666666666666667
3,102,102,uncivil,"If I sound hostile, it because I am kindly sharing the user hostility you're unleashing on developers trying to get work done.",571274865,uncivil,"Telling us you are frustrated is fine, ranting is not.","Telling us you are frustrated is fine, ranting is not. If I sound hostile, it because I am kindly sharing the user hostility you're unleashing on developers trying to get work done.",,1,181,0.925,0.925,0.09375,0.08333333333333333,0,0.0,0.0,0.0,0.0
4,102,102,uncivil,"If I sound hostile, it because I am kindly sharing the user hostility you're unleashing on developers trying to get work done.",571274865,-1,,"If I sound hostile, it because I am kindly sharing the user hostility you're unleashing on developers trying to get work done.",,1,126,0.625,0.625,0.6875,0.6111111111111112,0,0.0,0.0,0.0,0.0
5,10260,108364977,civil,"I don't know anything about gclient or gyp, and I didn't see any documentation in the repo to lead me in the right direction (except the README, which tells me I should be looking in tools/).",108364976,technical,An interesting initiative at  also if here we rely on Eigen tensor extension.,"An interesting initiative at  also if here we rely on Eigen tensor extension. I don't know anything about gclient or gyp, and I didn't see any documentation in the repo to lead me in the right direction (except the README, which tells me I should be looking in tools/).",None,0,269,0.15921787709497207,0.0,0.625,0.48598130841121495,0,0.1502532357906584,0.8491840180078785,0.8497467642093416,0.12999437253798538
6,10260,108364985,civil,I'm afraid that without guidance/help I won't be able to move far with the port.,108364984,technical,Thanks for working on this! I'll try to jump in and help a little bit at some point but the schedule is full!,Thanks for working on this! I'll try to jump in and help a little bit at some point but the schedule is full! I'm afraid that without guidance/help I won't be able to move far with the port.,None,0,190,0.12290502793296089,0.0,0.40625,0.14953271028037382,0,0.41699493528418685,0.5830050647158131,0.5835678109172763,0.39617332583005066
7,10260,108364985,civil,"I'm also having huge issues with building NSPR similarly to what was reported in comment #&#173,7 over an year ago.",108364984,technical,Thanks for working on this! I'll try to jump in and help a little bit at some point but the schedule is full!,"Thanks for working on this! I'll try to jump in and help a little bit at some point but the schedule is full! I'm also having huge issues with building NSPR similarly to what was reported in comment #&#173,7 over an year ago.",None,0,225,0.1424581005586592,0.0,0.40625,0.14953271028037382,0,0.41699493528418685,0.5830050647158131,0.5835678109172763,0.39617332583005066
8,10260,166933212,civil,I would like to help .. just don't think I have the needed skills.,138330813,technical,"I didn't try the ninja build. Essentially I got this one working flawlessly by putting symlinks to gcc, g++ & cc in a local directory that is in front of PATH.  I would personally say the build feels to be going quite well so far and I think I'm not that far away from having a working runtime. Though the porting effort is paused until the next weekend.","I didn't try the ninja build. Essentially I got this one working flawlessly by putting symlinks to gcc, g++ & cc in a local directory that is in front of PATH.  I would personally say the build feels to be going quite well so far and I think I'm not that far away from having a working runtime. Though the porting effort is paused until the next weekend. I would like to help .. just don't think I have the needed skills.",None,0,421,0.2541899441340782,1.0,0.125,0.009345794392523364,0,0.5447383230163196,0.45526167698368036,0.4558244231851435,0.5239167135621835
9,10260,166937573,uncivil,Unfortunately since then work has been busy which left no time for further dart work.,166933212,civil,I would like to help .. just don't think I have the needed skills.,I would like to help .. just don't think I have the needed skills. Unfortunately since then work has been busy which left no time for further dart work.,None,0,152,0.0893854748603352,0.9142857142857143,0.15789473684210525,0.06542056074766354,0,0.5447383230163196,0.45526167698368036,0.4558244231851435,0.5239167135621835
