,issue_id,comment_id,ahlaam_preprocessed_text,original_text,email_classification,author_name,is_first_author_thread,nr_characters,ratio_words_email_thread,position_comment_thread,is_last_comment,time_start_to_email,time_email_to_end,time_previous_to_email,time_email_to_next
0,6948,386800657,(I) really love this ability to minimize comments on GitHub.. :sparkles:,(I) really love this ability to minimize comments on GitHub.. :sparkles:,not_technical,Ashwin Maroli,0,72,0.07804878048780488,0.008771929824561403,0,0.08108108108108109,0.918918918918919,0.9256756756756757,0.08108108108108109
1,13762,441807521,"**But** if one is **not using**  bundler  in a project (and hence both  Gemfile  and  Pluginfile ), then they could just add plugins via fastlane require action in a project  Fastfile  or in an imported  Fastfile . If you install a plugin, you always configure fastlane to use bundler: Plugins are (by definition) gems loaded from rubygems. That is the difference to a local custom action. Besides that I honestly don't follow any more. Maybe create a new issue with just the actual  problem  you want to solve, and not suggestion for the solution.","> **But** if one is **not using** _bundler_ in a project (and hence both _Gemfile_ and _Pluginfile_), then they could just add plugins via `fastlane_require` action in a project _Fastfile_ or in an imported _Fastfile_.  If you install a plugin, you always configure fastlane to use bundler: https://docs.fastlane.tools/plugins/create-plugin/#add-a-plugin-to-your-project Plugins are (by definition) gems loaded from rubygems. That is the difference to a local custom action.  Besides that I honestly don't follow any more. Maybe create a new issue with just the actual _problem_ you want to solve, and not suggestion for the solution.",not_technical,Jan Piotrowski,0,548,0.23553719008264462,0.034482758620689655,0,0.025,0.95,0.975,0.05
2,9755,243940292,"**I do not think** it is a good idea to close this, even have a plan to reduce the size of atom, why not keep this open as a place where can remind us we have a really important thing to do. not just a idea. paulcbetts, I want to speak directly, the words ""very cheap to buy a USB"" seems really ridiculous. if that is right, why not make atom more bigger, to 2G. or what else...... what is the meaning of one software which exist? especially loved by people. that is ..... everyone knows it. maybe you will tell me, Atom is a open source, you just work for it as volunteer. That make no sense, why you make efforts to a open source, because you love it. when you love it, why not keep it the best. lee-dohm, Then about the purpose, 200M, 100M? crquan already gives us a good example ###sublime###. your words looks so ridiculous too, I have to say. no offence. Thanks.  anyway, Thanks all the efforts to ATOM. Thanks all you here. Thanks.","@thedaniel, **I do not think** it is a good idea to close this, even have a plan to reduce the size of atom, why not keep this open as a place where can remind us we have a really important thing to do. not just a idea. @paulcbetts, I want to speak directly, the words ""very cheap to buy a USB"" seems really ridiculous. if that is right, why not make atom more bigger, to 2G. or what else...... what is the meaning of one software which exist? especially loved by people. that is ..... everyone knows it. maybe you will tell me, Atom is a open source, you just work for it as volunteer. That make no sense, why you make efforts to a open source, because you love it. when you love it, why not keep it the best. @lee-dohm, Then about the purpose, 200M, 100M? @crquan already gives us a good example ###sublime###. your words looks so ridiculous too, I have to say. no offence. Thanks.  anyway, Thanks all the efforts to ATOM. Thanks all you here. Thanks.",not_technical,None,0,938,1.0,0.024390243902439025,0,0.2611524163568773,0.7388475836431226,0.7397769516728625,0.2620817843866171
3,19102,641251682,"**I REALLY DISAGREE WITH THIS PR**  I worry about the racial discrimination have happened in US from long time ago to recent as a human being, while I also insist to regard blacklist, whitelist, blackbox testing, whitebox testing, master, slave, etc to be neutral nouns in IT area as a software engineer. They just info to opposite or relevant methods in computer science without any emotion. The more one tries to hide, the more one is exposed.  My voice may seem to be sharp on this rename PR. Indeed, that shows my attitude about racial discrimination and mercy about people who suffer from brutality all around the world.   As a Chinese, we know the eval history of Negro Slaves and experienced Literary Inquisition about 400 years ago. We should show really action instead of showing shows.","**I REALLY DISAGREE WITH THIS PR**  I worry about the racial discrimination have happened in US from long time ago to recent as a human being, while I also insist to regard `blacklist, whitelist, blackbox testing, whitebox testing, master, slave, etc` to be neutral nouns in `IT area` as a software engineer. They just info to opposite or relevant methods in computer science without any emotion. The more one tries to hide, the more one is exposed.  My voice may seem to be sharp on this rename PR. Indeed, that shows my attitude about racial discrimination and mercy about people who suffer from brutality all around the world.   As a Chinese, we know the eval history of `Negro Slaves` and experienced `Literary Inquisition` about 400 years ago. We should show really action instead of showing shows.",not_technical,pingfengafei,0,795,1.0,0.09090909090909091,0,0.0,1.0,1.3333333333333333,0.3333333333333333
4,24294,24294,"## I'm submitting a Bug report  ## Current behavior Change Detection is not working with asynchronous route change. After route is changed - change detection in any component linked to a route is not firing. Method ngOnInit() is not launched too, its lauched only after any interaction with a component (form input, etc.).  ## Expected behavior Change Detection is working with asynchronous route change.  ## Minimal reproduction of the problem with instructions Sample here.  ## Environment: Check whether this is still an issue in the most recent Angular version --  ## Browser: Chrome (desktop) version LATEST  ## For Tooling issues. ## Others ## Comments It's working if Observable from this.auth.logIn() convert to a promise, like this. But I don't want to use promises, I want to use the Observable! Why It's not working? :E There is no objective reasons for that.","## I'm submitting a... Bug report  ## Current behavior Change Detection is not working with asynchronous route change. After route is changed - change detection in any component linked to a route is not firing. Method `ngOnInit()` is not launched too, its lauched only after any interaction with a component (form input, etc.).  ## Expected behavior Change Detection is working with asynchronous route change.  ## Minimal reproduction of the problem with instructions Sample: https://stackblitz.com/edit/angular-tqcthi  ## Environment Angular version: 6.0.3 <!-- Check whether this is still an issue in the most recent Angular version -->  ## Browser: - [*] Chrome (desktop) version LATEST  ## For Tooling issues: - Node version: XX  <!-- run `v8.11.1` --> - Platform:  Windows  ## Others: typescript: 2.8.1  ## Comments It's working if Observable from `this.auth.logIn()` convert to a promise, like this: ```typescript this.auth.logIn() // returns Promise .then((result) => { this.router.navigateByUrl('myApp'), }).catch((error) => { this.router.navigateByUrl('login'), }), ``` But I don't want to use promises, I want to use the Observable! Why It's not working? >:E There is no objective reasons for that.",not_technical,,1,870,1.0,0.1,0,0.0,0.0,0.0,0.0
5,1616,1616,"## The Lerna Core team has reverted this PR and revert information and response can be found here  ============================================  In this PR, the following text has been added to the existing MIT license:   The following license shall not be granted to the following entities or any subsidiary thereof due to their collaboration with US Immigration and Customs Enforcement (""ICE""):  - ""Microsoft Corporation"" - ""Palantir Technologies"" - ""Amazon.com, Inc."" - ""Northeastern University"" - ""Ernst & Young"" - ""Thomson Reuters"" - ""Motorola Solutions"" - ""Deloitte Consulting LLP"" - ""Johns Hopkins University"" - ""Dell Inc"" - ""Xerox Corporation"" - ""Canon Inc"" - ""Vermont State Colleges"" - ""Charter Communications"" - ""LinkedIn Corporation"" - ""United Parcel Service Co""   I have already spoken to kittens and evocateur about this privately, but I do need kittens to give us permission to make this change.  # Explanation  Over the last year I've been really disturbed to see what ICE has done to American immigrants, to an extreme with what has happened to children.  The other day I saw this video from the ACLU about a toddler who after being separated from his family for several months could no longer look his mother in the face:  Those with a background in early childhood development can tell you that severe cases of neglect at an early age can and will cause severe developmental delays and disabilities. They will grow up feeling detached, they will have deep rooted trust issues, and they will have an inability to feel empathy. The actions of ICE have had a lasting lifelong impact on these children, and many of them won't even remember it happening.  I have trouble expressing how angry this makes me feel.  And the worst part is that I feel helpless to improve the situation. I vote, I campaign, I phone bank, I donate, I protest, I write to officials, I try to inform others... and yet things just keep getting worse and worse.  There is one thing I have control over, and that's open source. Open source has always been a way that I try to make the world a better place. Bringing new contributions to the community helps drives innovation and competition.  Lerna is a perfect example of that. Historically monorepos required a lot of infrastructure and only large teams and companies could afford to set it up and maintain it. They had a very expensive cost to them. Lerna made it available to everyone and the community has flourished around it.  Tool after tool, this is what we accomplish with open source. This is what we contribute back to the world. But today I want to do something more.  As we've learned over the last few years with Facebook, Uber, Google, and others. Tech companies do a lot of shady things behind the scenes.  Recently it's come out that a lot of big tech companies are supporting ICE by providing them with infrastructure and in some cases doing significant development work for them. They all have their excuses, but the fact is that these companies care only about the millions of dollars that ICE is paying them and are willing to ignore all the horrible things that ICE does.  Recently it has come to my attention that many of these companies which are being paid millions of dollars by ICE are also using some of the open source software that I helped build.  Now, it's not news to me that people can use open source for evil. That's part of the whole deal.  But it's really hard for me to sit back and ignore what these companies are doing with my code. It doesn't feel like there are enough steps in between me and the horrible things ICE is doing.  So my plan now is to start licensing my software differently.  I have spoken to Sebastian and Daniel about this and we all want Lerna to do the same.  For the companies that are known supporters of ICE: Lerna will no longer be licensed as MIT for you. You will receive no licensing rights and any use of Lerna will be considered theft. You will not be able to pay for a license, the only way that it is going to change is by you publicly tearing your contracts with ICE.","## The Lerna Core team has reverted this PR and revert information and response can be found in https://github.com/lerna/lerna/pull/1633  ============================================  In this PR, the following text has been added to the existing MIT license:  ``` The following license shall not be granted to the following entities or any subsidiary thereof due to their collaboration with US Immigration and Customs Enforcement (""ICE""):  - ""Microsoft Corporation"" - ""Palantir Technologies"" - ""Amazon.com, Inc."" - ""Northeastern University"" - ""Ernst & Young"" - ""Thomson Reuters"" - ""Motorola Solutions"" - ""Deloitte Consulting LLP"" - ""Johns Hopkins University"" - ""Dell Inc"" - ""Xerox Corporation"" - ""Canon Inc"" - ""Vermont State Colleges"" - ""Charter Communications"" - ""LinkedIn Corporation"" - ""United Parcel Service Co"" ```  I have already spoken to @kittens and @evocateur about this privately, but I do need @kittens to give us permission to make this change.  # Explanation  Over the last year I've been really disturbed to see what ICE has done to American immigrants, to an extreme with what has happened to children.  The other day I saw this video from the ACLU about a toddler who after being separated from his family for several months could no longer look his mother in the face:  [<img width=""1312"" alt=""screen shot 2018-08-28 at 3 53 53 pm"" src=""https://user-images.githubusercontent.com/952783/44755388-cdf86280-aada-11e8-8749-3ec6fd27fdcc.png""> ](https://twitter.com/ACLU/status/1033084026893070338)  <p align=""center""><a href=""https://twitter.com/ACLU/status/1033084026893070338"">twitter.com/ACLU/status/1033084026893070338</a></p>  Those with a background in early childhood development can tell you that severe cases of neglect at an early age can and will cause severe developmental delays and disabilities. They will grow up feeling detached, they will have deep rooted trust issues, and they will have an inability to feel empathy. The actions of ICE have had a lasting lifelong impact on these children, and many of them won't even remember it happening.  I have trouble expressing how angry this makes me feel.  And the worst part is that I feel helpless to improve the situation. I vote, I campaign, I phone bank, I donate, I protest, I write to officials, I try to inform others... and yet things just keep getting worse and worse.  There is one thing I have control over, and that's open source. Open source has always been a way that I try to make the world a better place. Bringing new contributions to the community helps drives innovation and competition.  Lerna is a perfect example of that. Historically monorepos required a lot of infrastructure and only large teams and companies could afford to set it up and maintain it. They had a very expensive cost to them. Lerna made it available to everyone and the community has flourished around it.  Tool after tool, this is what we accomplish with open source. This is what we contribute back to the world. But today I want to do something more.  As we've learned over the last few years with Facebook, Uber, Google, and others. Tech companies do a lot of shady things behind the scenes.  Recently it's come out that a lot of big tech companies are supporting ICE by providing them with infrastructure and in some cases doing significant development work for them. They all have their excuses, but the fact is that these companies care only about the millions of dollars that ICE is paying them and are willing to ignore all the horrible things that ICE does.  Recently it has come to my attention that many of these companies which are being paid millions of dollars by ICE are also using some of the open source software that I helped build.  Now, it's not news to me that people can use open source for evil. That's part of the whole deal.  But it's really hard for me to sit back and ignore what these companies are doing with my code. It doesn't feel like there are enough steps in between me and the horrible things ICE is doing.  So my plan now is to start licensing my software differently.  I have spoken to Sebastian and Daniel about this and we all want Lerna to do the same.  For the companies that are known supporters of ICE: Lerna will no longer be licensed as MIT for you. You will receive no licensing rights and any use of Lerna will be considered theft. You will not be able to pay for a license, the only way that it is going to change is by you publicly tearing your contracts with ICE.",not_technical,,1,4077,1.0,0.09090909090909091,0,0.0,0.0,0.0,0.0
6,34281,34281,"##### ISSUE TYPE - Feature Idea  ##### COMPONENT NAME   ##### ANSIBLE VERSION - Paste verbatim output from ""ansible --version"" between quotes below --   ##### CONFIGURATION - If using Ansible 2.4 or above, paste the results. Otherwise, mention any settings you have changed/added/removed in ansible. (or using the ANSIBLE * environment variables).  ##### OS / ENVIRONMENT  ##### SUMMARY  I need to conditionally import a playbook, which isn't possible.  The keyword I'm missing is ""include playbook"" which would allow a ""when"" to apply to it.  Why?  I have a playbook that performs some maintenance, OS, Kernel, package, and firmware upgrades.  For Major upgrades, we track progress in a ticketing system.  So, during those runs, I'd like to conditionally import a playbook that updates the ticket information.  In order for that to work, I need to pass the user's password to the ticketing system, so there's a vars prompt in the ticket update playbook.  If the user specifies which ticket they're working to the maintenance playbook, I'd like the ticket update playbook to be called after the maintenance is performed.  If there's another way for this to work, I'm open to alternate ideas, but I think conditionally playbook imports would be generically useful.  I'm not understanding why tasks could be included dynamically, but a playbook wouldn't be.  ##### STEPS TO REPRODUCE For bugs, show exactly how to reproduce the problem, using a minimal test-case. For new features, show how the feature would be used.  - Paste example playbooks or commands between quotes below  # Maintenance Play Runs first, then conditionally import a second playbook - import playbook: update-ticket.yaml when: ticket id is defined  You can also paste links for larger files   ##### EXPECTED RESULTS - What did you expect to happen when running the steps above? --  I expect update-ticket.yaml to only import if the ticket id is defined.  ##### ACTUAL RESULTS - What actually happened? If possible run with extra verbosity  no parse error, and playbook update-ticket.yaml is imported 100% of the time.","##### ISSUE TYPE - Feature Idea  ##### COMPONENT NAME import_playbook  ##### ANSIBLE VERSION <!--- Paste verbatim output from ""ansible --version"" between quotes below --> ``` 2.4.0.0 ```  ##### CONFIGURATION <!--- If using Ansible 2.4 or above, paste the results of ""ansible-config dump --only-changed"" Otherwise, mention any settings you have changed/added/removed in ansible.cfg (or using the ANSIBLE_* environment variables). -->  n/a  ##### OS / ENVIRONMENT  CentOS 6  ##### SUMMARY  I need to conditionally import a playbook, which isn't possible.  The keyword I'm missing is ""include_playbook"" which would allow a ""when"" to apply to it.  Why?  I have a playbook that performs some maintenance, OS, Kernel, package, and firmware upgrades.  For Major upgrades, we track progress in a ticketing system.  So, during those runs, I'd like to conditionally import a playbook that updates the ticket information.  In order for that to work, I need to pass the user's password to the ticketing system, so there's a `vars_prompt` in the ticket update playbook.  If the user specifies which ticket they're working to the maintenance playbook, I'd like the ticket update playbook to be called after the maintenance is performed.  If there's another way for this to work, I'm open to alternate ideas, but I think conditionally playbook imports would be generically useful.  I'm not understanding why tasks could be included dynamically, but a playbook wouldn't be.  ##### STEPS TO REPRODUCE <!--- For bugs, show exactly how to reproduce the problem, using a minimal test-case. For new features, show how the feature would be used. -->  <!--- Paste example playbooks or commands between quotes below --> ```yaml # Maintenance Play Runs first, then conditionally import a second playbook - import_playbook: update-ticket.yaml when: ticket_id is defined ```  <!--- You can also paste gist.github.com links for larger files -->  ##### EXPECTED RESULTS <!--- What did you expect to happen when running the steps above? -->  I expect `update-ticket.yaml` to only import if the `ticket_id` is defined.  ##### ACTUAL RESULTS <!--- What actually happened? If possible run with extra verbosity (-vvvv) -->  no parse error, and playbook `update-ticket.yaml` is imported 100% of the time.",not_technical,,1,2086,1.0,0.022727272727272728,0,0.0,0.0,0.0,0.0
7,22553,541388527,"#25327 does not fix this issue at all, animating the Sprite Frame property is still incredibly broken in 3.2 Alpha2 as described in the original post of this issue.  This is not broken, as I already explained this is the expected behavior. This is once again NOT a bug and it is up to you to now change the way you deal with your animations. This should be doable via a script though, using the Animation API.","> #25327 does not fix this issue at all, animating the Sprite Frame property is still incredibly broken in 3.2 Alpha2 as described in the original post of this issue.  This is not broken, as I already explained this is the expected behavior. This is once again NOT a bug and it is up to you to now change the way you deal with your animations. This should be doable via a script though, using the Animation API.",not_technical,Gilles Roudière,0,409,0.2664576802507837,0.029411764705882353,0,1.0,0.0,0.002652519893899204,1.0026525198938991
8,3915,565350275,+1 I just lost hours worth of state because of this behavior.,+1 I just lost hours worth of state because of this behavior.,not_technical,Christian Axelsson,0,61,0.01897810218978102,0.05555555555555555,0,0.002325581395348837,0.9953488372093023,0.9976744186046511,0.0
9,10462,282091522,+1 This would really help modularizing our code,+1 This would really help modularizing our code,not_technical,Philip Nelson,0,47,0.07339449541284404,0.0072992700729927005,0,0.06629834254143646,0.9337016574585635,0.9344909234411997,0.06708760852407261
