model,class_balancing,metric,class0,class1,order,data
BERT,Random Oversampling,Precision,0.95,0.896,1,Code reviews dataset
BERT,Random Oversampling,Recall,0.96,0.88,1,Code reviews dataset
BERT,Random Oversampling,F1,0.95,0.89,1,Code reviews dataset
BERT,Random Undersampling,Precision,0.94,0.89,1,Code reviews dataset
BERT,Random Undersampling,Recall,0.96,0.85,1,Code reviews dataset
BERT,Random Undersampling,F1,0.95,0.87,1,Code reviews dataset
BERT,-,Precision,0.96,0.93,1,Code reviews dataset
BERT,-,Recall,0.97,0.92,1,Code reviews dataset
BERT,-,F1,0.96,0.92,1,Code reviews dataset
CART,Random Oversampling,Precision,0.81,0.57,2,Code reviews dataset
CART,Random Oversampling,Recall,0.79,0.57,2,Code reviews dataset
CART,Random Oversampling,F1,0.80,0.56,2,Code reviews dataset
CART,Random Undersampling,Precision,0.79,0.54,2,Code reviews dataset
CART,Random Undersampling,Recall,0.81,0.50,2,Code reviews dataset
CART,Random Undersampling,F1,0.80,0.51,2,Code reviews dataset
CART,SMOTE,Precision,0.79,0.58,2,Code reviews dataset
CART,SMOTE,Recall,0.84,0.47,2,Code reviews dataset
CART,SMOTE,F1,0.81,0.51,2,Code reviews dataset
KNN,Random Oversampling,Precision,0.76,0.46,3,Code reviews dataset
KNN,Random Oversampling,Recall,0.82,0.38,3,Code reviews dataset
KNN,Random Oversampling,F1,0.79,0.42,3,Code reviews dataset
KNN,Random Undersampling,Precision,0.77,0.48,3,Code reviews dataset
KNN,Random Undersampling,Recall,0.82,0.40,3,Code reviews dataset
KNN,Random Undersampling,F1,0.79,0.43,3,Code reviews dataset
KNN,SMOTE,Precision,0.77,0.46,3,Code reviews dataset
KNN,SMOTE,Recall,0.81,0.41,3,Code reviews dataset
KNN,SMOTE,F1,0.79,0.43,3,Code reviews dataset
LR,Random Oversampling,Precision,0.86,0.70,4,Code reviews dataset
LR,Random Oversampling,Recall,0.87,0.67,4,Code reviews dataset
LR,Random Oversampling,F1,0.87,0.68,4,Code reviews dataset
LR,Random Undersampling,Precision,0.86,0.67,4,Code reviews dataset
LR,Random Undersampling,Recall,0.86,0.66,4,Code reviews dataset
LR,Random Undersampling,F1,0.86,0.66,4,Code reviews dataset
LR,SMOTE,Precision,0.85,0.72,4,Code reviews dataset
LR,SMOTE,Recall,0.90,0.62,4,Code reviews dataset
LR,SMOTE,F1,0.87,0.67,4,Code reviews dataset
NB,Random Oversampling,Precision,0.84,0.68,5,Code reviews dataset
NB,Random Oversampling,Recall,0.87,0.61,5,Code reviews dataset
NB,Random Oversampling,F1,0.86,0.64,5,Code reviews dataset
NB,Random Undersampling,Precision,0.84,0.67,5,Code reviews dataset
NB,Random Undersampling,Recall,0.87,0.62,5,Code reviews dataset
NB,Random Undersampling,F1,0.85,0.64,5,Code reviews dataset
NB,SMOTE,Precision,0.83,0.68,5,Code reviews dataset
NB,SMOTE,Recall,0.87,0.58,5,Code reviews dataset
NB,SMOTE,F1,0.85,0.62,5,Code reviews dataset
RF,Random Oversampling,Precision,0.80,0.81,6,Code reviews dataset
RF,Random Oversampling,Recall,0.95,0.44,6,Code reviews dataset
RF,Random Oversampling,F1,0.87,0.57,6,Code reviews dataset
RF,Random Undersampling,Precision,0.81,0.81,6,Code reviews dataset
RF,Random Undersampling,Recall,0.95,0.48,6,Code reviews dataset
RF,Random Undersampling,F1,0.87,0.59,6,Code reviews dataset
RF,SMOTE,Precision,0.80,0.82,6,Code reviews dataset
RF,SMOTE,Recall,0.96,0.42,6,Code reviews dataset
RF,SMOTE,F1,0.87,0.55,6,Code reviews dataset
SVM,Random Undersampling,Precision,0.72,0.51,7,Code reviews dataset
SVM,Random Undersampling,Recall,0.97,0.12,7,Code reviews dataset
SVM,Random Undersampling,F1,0.83,0.16,7,Code reviews dataset
SVM,SMOTE,Precision,0.76,0.57,7,Code reviews dataset
SVM,SMOTE,Recall,0.90,0.33,7,Code reviews dataset
SVM,SMOTE,F1,0.82,0.40,7,Code reviews dataset
SVM,Random Oversampling,Precision,0.79,0.64,7,Code reviews dataset
SVM,Random Oversampling,Recall,0.92,0.40,7,Code reviews dataset
SVM,Random Oversampling,F1,0.85,0.46,7,Code reviews dataset
BERT,Random Oversampling,Precision,0.96,0.94,1,Issues dataset
BERT,Random Oversampling,Recall,0.98,0.89,1,Issues dataset
BERT,Random Oversampling,F1,0.97,0.91,1,Issues dataset
BERT,Random Undersampling,Precision,0.95,0.94,1,Issues dataset
BERT,Random Undersampling,Recall,0.98,0.89,1,Issues dataset
BERT,Random Undersampling,F1,0.97,0.91,1,Issues dataset
BERT,-,Precision,0.96,0.91,1,Issues dataset
BERT,-,Recall,0.96,0.91,1,Issues dataset
BERT,-,F1,0.96,0.91,1,Issues dataset
CART,Random Oversampling,Precision,0.78,0.48,2,Issues dataset
CART,Random Oversampling,Recall,0.75,0.52,2,Issues dataset
CART,Random Oversampling,F1,0.77,0.50,2,Issues dataset
CART,Random Undersampling,Precision,0.80,0.49,2,Issues dataset
CART,Random Undersampling,Recall,0.74,0.57,2,Issues dataset
CART,Random Undersampling,F1,0.77,0.52,2,Issues dataset
CART,SMOTE,Precision,0.79,0.48,2,Issues dataset
CART,SMOTE,Recall,0.74,0.54,2,Issues dataset
CART,SMOTE,F1,0.76,0.50,2,Issues dataset
KNN,Random Oversampling,Precision,0.73,0.39,3,Issues dataset
KNN,Random Oversampling,Recall,0.73,0.39,3,Issues dataset
KNN,Random Oversampling,F1,0.73,0.39,3,Issues dataset
KNN,Random Undersampling,Precision,0.73,0.39,3,Issues dataset
KNN,Random Undersampling,Recall,0.73,0.39,3,Issues dataset
KNN,Random Undersampling,F1,0.73,0.39,3,Issues dataset
KNN,SMOTE,Precision,0.74,0.38,3,Issues dataset
KNN,SMOTE,Recall,0.70,0.42,3,Issues dataset
KNN,SMOTE,F1,0.72,0.40,3,Issues dataset
LR,Random Oversampling,Precision,0.84,0.58,4,Issues dataset
LR,Random Oversampling,Recall,0.79,0.65,4,Issues dataset
LR,Random Oversampling,F1,0.81,0.61,4,Issues dataset
LR,Random Undersampling,Precision,0.84,0.57,4,Issues dataset
LR,Random Undersampling,Recall,0.79,0.64,4,Issues dataset
LR,Random Undersampling,F1,0.81,0.60,4,Issues dataset
LR,SMOTE,Precision,0.83,0.58,4,Issues dataset
LR,SMOTE,Recall,0.80,0.63,4,Issues dataset
LR,SMOTE,F1,0.82,0.60,4,Issues dataset
NB,Random Oversampling,Precision,0.77,0.55,5,Issues dataset
NB,Random Oversampling,Recall,0.85,0.41,5,Issues dataset
NB,Random Oversampling,F1,0.81,0.47,5,Issues dataset
NB,Random Undersampling,Precision,0.77,0.52,5,Issues dataset
NB,Random Undersampling,Recall,0.83,0.42,5,Issues dataset
NB,Random Undersampling,F1,0.80,0.46,5,Issues dataset
NB,SMOTE,Precision,0.78,0.56,5,Issues dataset
