model,class_balancing,metric,class0,class1,order
BERT,Random Oversampling,Precision,0.96,0.94,1
BERT,Random Oversampling,Recall,0.98,0.89,1
BERT,Random Oversampling,F1,0.97,0.91,1
BERT,Random Undersampling,Precision,0.95,0.94,1
BERT,Random Undersampling,Recall,0.98,0.89,1
BERT,Random Undersampling,F1,0.97,0.91,1
BERT,-,Precision,0.96,0.91,1
BERT,-,Recall,0.96,0.91,1
BERT,-,F1,0.96,0.91,1
CART,Random Oversampling,Precision,0.78,0.48,2
CART,Random Oversampling,Recall,0.75,0.52,2
CART,Random Oversampling,F1,0.77,0.50,2
CART,Random Undersampling,Precision,0.80,0.49,2
CART,Random Undersampling,Recall,0.74,0.57,2
CART,Random Undersampling,F1,0.77,0.52,2
CART,SMOTE,Precision,0.79,0.48,2
CART,SMOTE,Recall,0.74,0.54,2
CART,SMOTE,F1,0.76,0.50,2
KNN,Random Oversampling,Precision,0.73,0.39,3
KNN,Random Oversampling,Recall,0.73,0.39,3
KNN,Random Oversampling,F1,0.73,0.39,3
KNN,Random Undersampling,Precision,0.73,0.39,3
KNN,Random Undersampling,Recall,0.73,0.39,3
KNN,Random Undersampling,F1,0.73,0.39,3
KNN,SMOTE,Precision,0.74,0.38,3
KNN,SMOTE,Recall,0.70,0.42,3
KNN,SMOTE,F1,0.72,0.40,3
LR,Random Oversampling,Precision,0.84,0.58,4
LR,Random Oversampling,Recall,0.79,0.65,4
LR,Random Oversampling,F1,0.81,0.61,4
LR,Random Undersampling,Precision,0.84,0.57,4
LR,Random Undersampling,Recall,0.79,0.64,4
LR,Random Undersampling,F1,0.81,0.60,4
LR,SMOTE,Precision,0.83,0.58,4
LR,SMOTE,Recall,0.80,0.63,4
LR,SMOTE,F1,0.82,0.60,4
NB,Random Oversampling,Precision,0.77,0.55,5
NB,Random Oversampling,Recall,0.85,0.41,5
NB,Random Oversampling,F1,0.81,0.47,5
NB,Random Undersampling,Precision,0.77,0.52,5
NB,Random Undersampling,Recall,0.83,0.42,5
NB,Random Undersampling,F1,0.80,0.46,5
NB,SMOTE,Precision,0.78,0.56,5
NB,SMOTE,Recall,0.85,0.43,5
NB,SMOTE,F1,0.81,0.49,5
RF,Random Oversampling,Precision,0.78,0.72,6
RF,Random Oversampling,Recall,0.93,0.38,6
RF,Random Oversampling,F1,0.85,0.50,6
RF,Random Undersampling,Precision,0.79,0.71,6
RF,Random Undersampling,Recall,0.92,0.44,6
RF,Random Undersampling,F1,0.85,0.55,6
RF,SMOTE,Precision,0.77,0.75,6
RF,SMOTE,Recall,0.95,0.37,6
RF,SMOTE,F1,0.85,0.49,6
SVM,Random Oversampling,Precision,0.72,0.51,7
SVM,Random Oversampling,Recall,0.91,0.18,7
SVM,Random Oversampling,F1,0.80,0.25,7
SVM,Random Undersampling,Precision,0.71,0.62,7
SVM,Random Undersampling,Recall,0.99,0.05,7
SVM,Random Undersampling,F1,0.82,0.10,7
SVM,SMOTE,Precision,0.72,0.45,7
SVM,SMOTE,Recall,0.89,0.20,7
SVM,SMOTE,F1,0.80,0.28,7
