model,class_balancing,metric,class0,class1,order
BERT,Random Oversampling,Precision,0.29,0.77,1
BERT,Random Oversampling,Recall,0.81,0.46,1
BERT,Random Oversampling,F1,0.36,0.50,1
BERT,Random Undersampling,Precision,0.88,0.99,1
BERT,Random Undersampling,Recall,0.92,0.98,1
BERT,Random Undersampling,F1,0.90,0.99,1
BERT,-,Precision,0.88,0.97,1
BERT,-,Recall,0.81,0.99,1
BERT,-,F1,0.84,0.98,1
CART,Random Oversampling,Precision,0.26,0.91,2
CART,Random Oversampling,Recall,0.33,0.88,2
CART,Random Oversampling,F1,0.29,0.90,2
CART,Random Undersampling,Precision,0.22,0.91,2
CART,Random Undersampling,Recall,0.39,0.82,2
CART,Random Undersampling,F1,0.28,0.87,2
CART,SMOTE,Precision,0.24,0.91,2
CART,SMOTE,Recall,0.32,0.88,2
CART,SMOTE,F1,0.27,0.89,2
KNN,Random Oversampling,Precision,0.12,0.89,3
KNN,Random Oversampling,Recall,0.12,0.89,3
KNN,Random Oversampling,F1,0.12,0.89,3
KNN,Random Undersampling,Precision,0.14,0.89,3
KNN,Random Undersampling,Recall,0.26,0.79,3
KNN,Random Undersampling,F1,0.18,0.84,3
KNN,SMOTE,Precision,0.12,0.89,3
KNN,SMOTE,Recall,0.27,0.74,3
KNN,SMOTE,F1,0.16,0.81,3
LR,Random Oversampling,Precision,0.26,0.94,4
LR,Random Oversampling,Recall,0.61,0.78,4
LR,Random Oversampling,F1,0.36,0.85,4
LR,Random Undersampling,Precision,0.24,0.94,4
LR,Random Undersampling,Recall,0.59,0.76,4
LR,Random Undersampling,F1,0.34,0.84,4
LR,SMOTE,Precision,0.26,0.94,4
LR,SMOTE,Recall,0.56,0.79,4
LR,SMOTE,F1,0.35,0.86,4
NB,Random Oversampling,Precision,0.17,0.91,5
NB,Random Oversampling,Recall,0.46,0.70,5
NB,Random Oversampling,F1,0.24,0.79,5
NB,Random Undersampling,Precision,0.17,0.91,5
NB,Random Undersampling,Recall,0.47,0.70,5
NB,Random Undersampling,F1,0.25,0.79,5
NB,SMOTE,Precision,0.16,0.91,5
NB,SMOTE,Recall,0.46,0.70,5
NB,SMOTE,F1,0.24,0.79,5
RF,Random Oversampling,Precision,0.60,0.89,6
RF,Random Oversampling,Recall,0.04,1.00,6
RF,Random Oversampling,F1,0.07,0.94,6
RF,Random Undersampling,Precision,0.55,0.90,6
RF,Random Undersampling,Recall,0.17,0.98,6
RF,Random Undersampling,F1,0.25,0.94,6
RF,SMOTE,Precision,0.54,0.89,6
RF,SMOTE,Recall,0.05,1.00,6
RF,SMOTE,F1,0.08,0.94,6
SVM,Random Oversampling,Precision,0.20,0.89,7
SVM,Random Oversampling,Recall,0.01,1.00,7
SVM,Random Oversampling,F1,0.01,0.94,7
SVM,Random Undersampling,Precision,0.00,0.89,7
SVM,Random Undersampling,Recall,0.00,1.00,7
SVM,Random Undersampling,F1,0.00,0.94,7
SVM,SMOTE,Precision,0.33,0.89,7
SVM,SMOTE,Recall,0.02,0.99,7
SVM,SMOTE,F1,0.04,0.94,7
