model,class_balancing,metric,score,order,data
BERT,-,F1,0.92,1,Issues dataset
BERT,Random Oversampling,F1,0.91,1,Issues dataset
BERT,Random Undersampling,F1,0.87,1,Issues dataset
CART,Random Oversampling,F1,0.64,2,Issues dataset
CART,Random Undersampling,F1,0.63,2,Issues dataset
CART,SMOTE,F1,0.66,2,Issues dataset
KNN,Random Oversampling,F1,0.58,3,Issues dataset
KNN,Random Undersampling,F1,0.58,3,Issues dataset
KNN,SMOTE,F1,0.55,3,Issues dataset
LR,Random Oversampling,F1,0.67,4,Issues dataset
LR,Random Undersampling,F1,0.67,4,Issues dataset
LR,SMOTE,F1,0.67,4,Issues dataset
NB,Random Oversampling,F1,0.54,5,Issues dataset
NB,Random Undersampling,F1,0.62,5,Issues dataset
NB,SMOTE,F1,0.55,5,Issues dataset
RF,Random Oversampling,F1,0.53,6,Issues dataset
RF,Random Undersampling,F1,0.67,6,Issues dataset
RF,SMOTE,F1,0.59,6,Issues dataset
SVM,Random Oversampling,F1,0.52,7,Issues dataset
SVM,Random Undersampling,F1,0.49,7,Issues dataset
SVM,SMOTE,F1,0.52,7,Issues dataset
BERT,-,MCC,0.85,1,Issues dataset
BERT,Random Oversampling,MCC,0.81,1,Issues dataset
BERT,Random Undersampling,MCC,0.75,1,Issues dataset
CART,Random Oversampling,MCC,0.29,2,Issues dataset
CART,Random Undersampling,MCC,0.29,2,Issues dataset
CART,SMOTE,MCC,0.32,2,Issues dataset
KNN,Random Oversampling,MCC,0.15,3,Issues dataset
KNN,Random Undersampling,MCC,0.16,3,Issues dataset
KNN,SMOTE,MCC,0.13,3,Issues dataset
LR,Random Oversampling,MCC,0.39,4,Issues dataset
LR,Random Undersampling,MCC,0.38,4,Issues dataset
LR,SMOTE,MCC,0.38,4,Issues dataset
NB,Random Oversampling,MCC,0.15,5,Issues dataset
NB,Random Undersampling,MCC,0.25,5,Issues dataset
NB,SMOTE,MCC,0.15,5,Issues dataset
RF,Random Oversampling,MCC,0.22,6,Issues dataset
RF,Random Undersampling,MCC,0.37,6,Issues dataset
RF,SMOTE,MCC,0.30,6,Issues dataset
SVM,Random Oversampling,MCC,0.14,7,Issues dataset
SVM,Random Undersampling,MCC,0.16,7,Issues dataset
SVM,SMOTE,MCC,0.14,7,Issues dataset
BERT,-,nMCC,0.92,1,Issues dataset
BERT,Random Oversampling,nMCC,0.91,1,Issues dataset
BERT,Random Undersampling,nMCC,0.88,1,Issues dataset
CART,Random Oversampling,nMCC,0.65,2,Issues dataset
CART,Random Undersampling,nMCC,0.64,2,Issues dataset
CART,SMOTE,nMCC,0.66,2,Issues dataset
KNN,Random Oversampling,nMCC,0.58,3,Issues dataset
KNN,Random Undersampling,nMCC,0.58,3,Issues dataset
KNN,SMOTE,nMCC,0.57,3,Issues dataset
LR,Random Oversampling,nMCC,0.69,4,Issues dataset
LR,Random Undersampling,nMCC,0.69,4,Issues dataset
LR,SMOTE,nMCC,0.69,4,Issues dataset
NB,Random Oversampling,nMCC,0.57,5,Issues dataset
NB,Random Undersampling,nMCC,0.62,5,Issues dataset
NB,SMOTE,nMCC,0.57,5,Issues dataset
RF,Random Oversampling,nMCC,0.61,6,Issues dataset
RF,Random Undersampling,nMCC,0.69,6,Issues dataset
RF,SMOTE,nMCC,0.65,6,Issues dataset
SVM,Random Oversampling,nMCC,0.57,7,Issues dataset
SVM,Random Undersampling,nMCC,0.58,7,Issues dataset
SVM,SMOTE,nMCC,0.57,7,Issues dataset
BERT,-,Precision,0.95,1,Issues dataset
BERT,Random Oversampling,Precision,0.90,1,Issues dataset
BERT,Random Undersampling,Precision,0.87,1,Issues dataset
CART,Random Oversampling,Precision,0.63,2,Issues dataset
CART,Random Undersampling,Precision,0.62,2,Issues dataset
CART,SMOTE,Precision,0.64,2,Issues dataset
KNN,Random Oversampling,Precision,0.58,3,Issues dataset
KNN,Random Undersampling,Precision,0.57,3,Issues dataset
KNN,SMOTE,Precision,0.55,3,Issues dataset
LR,Random Oversampling,Precision,0.65,4,Issues dataset
LR,Random Undersampling,Precision,0.65,4,Issues dataset
LR,SMOTE,Precision,0.65,4,Issues dataset
NB,Random Oversampling,Precision,0.63,5,Issues dataset
NB,Random Undersampling,Precision,0.63,5,Issues dataset
NB,SMOTE,Precision,0.63,5,Issues dataset
RF,Random Oversampling,Precision,0.89,6,Issues dataset
RF,Random Undersampling,Precision,0.75,6,Issues dataset
RF,SMOTE,Precision,0.83,6,Issues dataset
SVM,Random Oversampling,Precision,0.68,7,Issues dataset
SVM,Random Undersampling,Precision,0.93,7,Issues dataset
SVM,SMOTE,Precision,0.66,7,Issues dataset
BERT,-,Recall,0.91,1,Issues dataset
BERT,Random Oversampling,Recall,0.91,1,Issues dataset
BERT,Random Undersampling,Recall,0.88,1,Issues dataset
CART,Random Oversampling,Recall,0.66,2,Issues dataset
CART,Random Undersampling,Recall,0.68,2,Issues dataset
CART,SMOTE,Recall,0.68,2,Issues dataset
KNN,Random Oversampling,Recall,0.57,3,Issues dataset
KNN,Random Undersampling,Recall,0.59,3,Issues dataset
KNN,SMOTE,Recall,0.58,3,Issues dataset
LR,Random Oversampling,Recall,0.74,4,Issues dataset
LR,Random Undersampling,Recall,0.75,4,Issues dataset
LR,SMOTE,Recall,0.74,4,Issues dataset
NB,Random Oversampling,Recall,0.54,5,Issues dataset
NB,Random Undersampling,Recall,0.62,5,Issues dataset
NB,SMOTE,Recall,0.54,5,Issues dataset
RF,Random Oversampling,Recall,0.53,6,Issues dataset
RF,Random Undersampling,Recall,0.64,6,Issues dataset
RF,SMOTE,Recall,0.57,6,Issues dataset
SVM,Random Oversampling,Recall,0.53,7,Issues dataset
SVM,Random Undersampling,Recall,0.52,7,Issues dataset
SVM,SMOTE,Recall,0.53,7,Issues dataset
BERT,-,F1,0.92,1,Code reviews dataset
BERT,Random Undersampling,F1,0.94,1,Code reviews dataset
BERT,Random Oversampling,F1,0.43,1,Code reviews dataset
CART,Random Undersampling,F1,0.57,2,Code reviews dataset
CART,Random Oversampling,F1,0.59,2,Code reviews dataset
CART,SMOTE,F1,0.58,2,Code reviews dataset
KNN,Random Undersampling,F1,0.51,3,Code reviews dataset
KNN,Random Oversampling,F1,0.50,3,Code reviews dataset
KNN,SMOTE,F1,0.49,3,Code reviews dataset
LR,Random Undersampling,F1,0.59,4,Code reviews dataset
LR,Random Oversampling,F1,0.61,4,Code reviews dataset
LR,SMOTE,F1,0.60,4,Code reviews dataset
NB,Random Undersampling,F1,0.52,5,Code reviews dataset
NB,Random Oversampling,F1,0.52,5,Code reviews dataset
NB,SMOTE,F1,0.52,5,Code reviews dataset
RF,Random Undersampling,F1,0.60,6,Code reviews dataset
RF,Random Oversampling,F1,0.50,6,Code reviews dataset
RF,SMOTE,F1,0.51,6,Code reviews dataset
SVM,Random Undersampling,F1,0.47,7,Code reviews dataset
SVM,Random Oversampling,F1,0.48,7,Code reviews dataset
SVM,SMOTE,F1,0.49,7,Code reviews dataset
BERT,-,MCC,0.82,1,Code reviews dataset
BERT,Random Undersampling,MCC,0.89,1,Code reviews dataset
BERT,Random Oversampling,MCC,0.25,1,Code reviews dataset
CART,Random Undersampling,MCC,0.17,2,Code reviews dataset
CART,Random Oversampling,MCC,0.19,2,Code reviews dataset
CART,SMOTE,MCC,0.17,2,Code reviews dataset
KNN,Random Undersampling,MCC,0.04,3,Code reviews dataset
KNN,Random Oversampling,MCC,0.01,3,Code reviews dataset
KNN,SMOTE,MCC,0.01,3,Code reviews dataset
LR,Random Undersampling,MCC,0.25,4,Code reviews dataset
LR,Random Oversampling,MCC,0.28,4,Code reviews dataset
LR,SMOTE,MCC,0.26,4,Code reviews dataset
NB,Random Undersampling,MCC,0.12,5,Code reviews dataset
NB,Random Oversampling,MCC,0.11,5,Code reviews dataset
