dataset,data,model,class_balancing,metric,class0,class1,average,class0_rq1,class1_rq1,average_rq1,order,context_normal,difference
technical_non_technical,Code reviews dataset,BERT,Random Undersampling,Precision,0.67,,,0.88,,,2,Non-technical,-0.20
technical_non_technical,Code reviews dataset,BERT,Random Undersampling,Recall,0.71,,,0.92,,,2,Non-technical,-0.22
technical_non_technical,Code reviews dataset,BERT,Random Undersampling,F1,0.69,,,0.90,,,2,Non-technical,-0.21
technical_non_technical,Code reviews dataset,BERT,Random Undersampling,Precision,,0.97,,,0.99,,1,Technical,-0.02
technical_non_technical,Code reviews dataset,BERT,Random Undersampling,Recall,,0.98,,,0.98,,1,Technical,-0.01
technical_non_technical,Code reviews dataset,BERT,Random Undersampling,F1,,0.97,,,0.99,,1,Technical,-0.02
technical_non_technical,Code reviews dataset,BERT,Random Undersampling,Precision,,,0.82,,,0.93,3,Average,-0.11
technical_non_technical,Code reviews dataset,BERT,Random Undersampling,Recall,,,0.84,,,0.95,3,Average,-0.11
technical_non_technical,Code reviews dataset,BERT,Random Undersampling,F1,,,0.83,,,0.94,3,Average,-0.11
technical_non_technical,Code reviews dataset,BERT,Random Undersampling,MCC,,,0.66,,,0.89,3,Average,-0.22
technical_non_technical,Code reviews dataset,BERT,Random Undersampling,nMCC,,,0.83,,,0.94,3,Average,-0.11
technical_non_technical,Issues dataset,BERT,No class balancing,Precision,0.78,,,0.92,,,2,Non-technical,-0.14
technical_non_technical,Issues dataset,BERT,No class balancing,Recall,0.79,,,0.83,,,2,Non-technical,-0.04
technical_non_technical,Issues dataset,BERT,No class balancing,F1,0.78,,,0.86,,,2,Non-technical,-0.08
technical_non_technical,Issues dataset,BERT,No class balancing,Precision,,0.97,,,0.97,,1,Technical,-0.01
technical_non_technical,Issues dataset,BERT,No class balancing,Recall,,0.97,,,0.99,,1,Technical,-0.02
technical_non_technical,Issues dataset,BERT,No class balancing,F1,,0.97,,,0.98,,1,Technical,-0.01
technical_non_technical,Issues dataset,BERT,No class balancing,Precision,,,0.87,,,0.95,3,Average,-0.07
technical_non_technical,Issues dataset,BERT,No class balancing,Recall,,,0.88,,,0.91,3,Average,-0.03
technical_non_technical,Issues dataset,BERT,No class balancing,F1,,,0.88,,,0.92,3,Average,-0.05
technical_non_technical,Issues dataset,BERT,No class balancing,MCC,,,0.75,,,0.85,3,Average,-0.10
technical_non_technical,Issues dataset,BERT,No class balancing,nMCC,,,0.88,,,0.92,3,Average,-0.05
