dataset,model,class_balancing,metric,class0,class1,average,order,data
technical_non_technical,BERT,Random oversampling,F1,0.17,0.94,0.55,1,Train on issues and test on code reviews
technical_non_technical,CART,SMOTE,F1,0.21,0.73,0.47,2,Train on issues and test on code reviews
technical_non_technical,KNN,Random Undersampling,F1,0.17,0.80,0.48,3,Train on issues and test on code reviews
technical_non_technical,LR,Random Oversampling,F1,0.27,0.74,0.50,4,Train on issues and test on code reviews
technical_non_technical,NB,Random Undersampling,F1,0.09,0.88,0.49,5,Train on issues and test on code reviews
technical_non_technical,RF,Random Undersampling,F1,0.20,0.92,0.56,6,Train on issues and test on code reviews
technical_non_technical,SVM,Random Undersampling,F1,0.00,0.94,0.47,7,Train on issues and test on code reviews
technical_non_technical,BERT,Random undersampling,F1,0.32,0.91,0.61,1,Train on code reviews and test on issues
technical_non_technical,CART,Random Oversampling,F1,0.20,0.89,0.55,2,Train on code reviews and test on issues
technical_non_technical,KNN,Random Undersampling,F1,0.16,0.83,0.50,3,Train on code reviews and test on issues
technical_non_technical,LR,Random Oversampling,F1,0.27,0.36,0.31,4,Train on code reviews and test on issues
technical_non_technical,NB,Random Undersampling,F1,0.28,0.49,0.39,5,Train on code reviews and test on issues
technical_non_technical,RF,Random Undersampling,F1,0.13,0.92,0.53,6,Train on code reviews and test on issues
technical_non_technical,SVM,SMOTE,F1,0.00,0.93,0.46,7,Train on code reviews and test on issues
technical_non_technical,BERT,Random oversampling,MCC,,,0.19,1,Train on issues and test on code reviews
technical_non_technical,CART,SMOTE,MCC,,,0.06,2,Train on issues and test on code reviews
technical_non_technical,KNN,Random Undersampling,MCC,,,0.01,3,Train on issues and test on code reviews
technical_non_technical,LR,Random Oversampling,MCC,,,0.16,4,Train on issues and test on code reviews
technical_non_technical,NB,Random Undersampling,MCC,,,0.0,5,Train on issues and test on code reviews
technical_non_technical,RF,Random Undersampling,MCC,,,0.14,6,Train on issues and test on code reviews
technical_non_technical,SVM,Random Undersampling,MCC,,,0.00,7,Train on issues and test on code reviews
technical_non_technical,BERT,Random oversampling,nMCC,,,0.60,1,Train on issues and test on code reviews
technical_non_technical,CART,SMOTE,nMCC,,,0.53,2,Train on issues and test on code reviews
technical_non_technical,KNN,Random Undersampling,nMCC,,,0.50,3,Train on issues and test on code reviews
technical_non_technical,LR,Random Oversampling,nMCC,,,0.58,4,Train on issues and test on code reviews
technical_non_technical,NB,Random Undersampling,nMCC,,,0.5,5,Train on issues and test on code reviews
technical_non_technical,RF,Random Undersampling,nMCC,,,0.57,6,Train on issues and test on code reviews
technical_non_technical,SVM,Random Undersampling,nMCC,,,0.50,7,Train on issues and test on code reviews
technical_non_technical,BERT,Random undersampling,MCC,,,0.24,1,Train on code reviews and test on issues
technical_non_technical,CART,Random Oversampling,MCC,,,0.10,2,Train on code reviews and test on issues
technical_non_technical,KNN,Random Undersampling,MCC,,,0.00,3,Train on code reviews and test on issues
technical_non_technical,LR,Random Oversampling,MCC,,,0.09,4,Train on code reviews and test on issues
technical_non_technical,NB,Random Undersampling,MCC,,,0.14,5,Train on code reviews and test on issues
technical_non_technical,RF,Random Undersampling,MCC,,,0.12,6,Train on code reviews and test on issues
technical_non_technical,SVM,SMOTE,MCC,,,0.00,7,Train on code reviews and test on issues
technical_non_technical,BERT,Random undersampling,nMCC,,,0.62,1,Train on code reviews and test on issues
technical_non_technical,CART,Random Oversampling,nMCC,,,0.55,2,Train on code reviews and test on issues
technical_non_technical,KNN,Random Undersampling,nMCC,,,0.50,3,Train on code reviews and test on issues
technical_non_technical,LR,Random Oversampling,nMCC,,,0.55,4,Train on code reviews and test on issues
technical_non_technical,NB,Random Undersampling,nMCC,,,0.57,5,Train on code reviews and test on issues
technical_non_technical,RF,Random Undersampling,nMCC,,,0.56,6,Train on code reviews and test on issues
technical_non_technical,SVM,SMOTE,nMCC,,,0.50,7,Train on code reviews and test on issues
technical_non_technical,BERT,Random oversampling,Precision,0.51,0.90,0.71,1,Train on issues and test on code reviews
technical_non_technical,CART,SMOTE,Precision,0.14,0.90,0.52,2,Train on issues and test on code reviews
technical_non_technical,KNN,Random Undersampling,Precision,0.12,0.89,0.50,3,Train on issues and test on code reviews
technical_non_technical,LR,Random Oversampling,Precision,0.17,0.93,0.55,4,Train on issues and test on code reviews
technical_non_technical,NB,Random Undersampling,Precision,0.09,0.89,0.49,5,Train on issues and test on code reviews
technical_non_technical,RF,Random Undersampling,Precision,0.29,0.90,0.60,6,Train on issues and test on code reviews
technical_non_technical,SVM,Random Undersampling,Precision,0.00,0.89,0.44,7,Train on issues and test on code reviews
technical_non_technical,BERT,Random undersampling,Precision,0.39,0.89,0.64,1,Train on code reviews and test on issues
technical_non_technical,CART,Random Oversampling,Precision,0.25,0.87,0.56,2,Train on code reviews and test on issues
technical_non_technical,KNN,Random Undersampling,Precision,0.14,0.86,0.50,3,Train on code reviews and test on issues
technical_non_technical,LR,Random Oversampling,Precision,0.16,0.92,0.54,4,Train on code reviews and test on issues
technical_non_technical,NB,Random Undersampling,Precision,0.17,0.93,0.55,5,Train on code reviews and test on issues
technical_non_technical,RF,Random Undersampling,Precision,0.39,0.87,0.63,6,Train on code reviews and test on issues
technical_non_technical,SVM,SMOTE,Precision,0.10,0.86,0.48,7,Train on code reviews and test on issues
technical_non_technical,BERT,Random oversampling,Recall,0.10,0.99,0.55,1,Train on issues and test on code reviews
technical_non_technical,CART,SMOTE,Recall,0.48,0.62,0.55,2,Train on issues and test on code reviews
technical_non_technical,KNN,Random Undersampling,Recall,0.28,0.73,0.51,3,Train on issues and test on code reviews
technical_non_technical,LR,Random Oversampling,Recall,0.64,0.61,0.62,4,Train on issues and test on code reviews
technical_non_technical,NB,Random Undersampling,Recall,0.10,0.88,0.49,5,Train on issues and test on code reviews
technical_non_technical,RF,Random Undersampling,Recall,0.16,0.95,0.55,6,Train on issues and test on code reviews
technical_non_technical,SVM,Random Undersampling,Recall,0.00,1.00,0.50,7,Train on issues and test on code reviews
technical_non_technical,BERT,Random undersampling,Recall,0.30,0.92,0.61,1,Train on code reviews and test on issues
technical_non_technical,CART,Random Oversampling,Recall,0.17,0.91,0.54,2,Train on code reviews and test on issues
technical_non_technical,KNN,Random Undersampling,Recall,0.20,0.81,0.50,3,Train on code reviews and test on issues
technical_non_technical,LR,Random Oversampling,Recall,0.88,0.24,0.56,4,Train on code reviews and test on issues
technical_non_technical,NB,Random Undersampling,Recall,0.85,0.33,0.59,5,Train on code reviews and test on issues
technical_non_technical,RF,Random Undersampling,Recall,0.08,0.98,0.53,6,Train on code reviews and test on issues
technical_non_technical,SVM,SMOTE,Recall,0.00,1.00,0.50,7,Train on code reviews and test on issues
