dataset,data,quotation_tbdf_x,quotation_tbdf,label_correct,model,correctly_predicted?,count,total,%,order
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,appreciation_excitement,Appreciation and excitement,Civil,BERT,TRUE,63,90,70.00%,1
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,appreciation_excitement,Appreciation and excitement,Civil,BERT,FALSE,27,90,30.00%,1
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,appreciation_excitement,Appreciation and excitement,Civil,CART,TRUE,8,19,42.11%,1
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,appreciation_excitement,Appreciation and excitement,Civil,CART,FALSE,11,19,57.89%,1
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,appreciation_excitement,Appreciation and excitement,Civil,KNN,TRUE,6,19,31.58%,1
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,appreciation_excitement,Appreciation and excitement,Civil,KNN,FALSE,13,19,68.42%,1
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,appreciation_excitement,Appreciation and excitement,Civil,LR,TRUE,13,19,68.42%,1
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,appreciation_excitement,Appreciation and excitement,Civil,LR,FALSE,6,19,31.58%,1
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,appreciation_excitement,Appreciation and excitement,Civil,NB,TRUE,8,19,42.11%,1
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,appreciation_excitement,Appreciation and excitement,Civil,NB,FALSE,11,19,57.89%,1
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,appreciation_excitement,Appreciation and excitement,Civil,RF,TRUE,1,19,5.26%,1
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,appreciation_excitement,Appreciation and excitement,Civil,RF,FALSE,18,19,94.74%,1
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,appreciation_excitement,Appreciation and excitement,Civil,SVM,TRUE,2,19,10.53%,1
rq3_train_gh_test_lkml_civil_uncivil,Train on issues and test on code reviews,appreciation_excitement,Appreciation and excitement,Civil,SVM,FALSE,17,19,89.47%,1
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,appreciation_excitement,Appreciation and excitement,Civil,BERT,TRUE,40,58,68.97%,1
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,appreciation_excitement,Appreciation and excitement,Civil,BERT,FALSE,18,58,31.03%,1
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,appreciation_excitement,Appreciation and excitement,Civil,CART,TRUE,23,58,39.66%,1
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,appreciation_excitement,Appreciation and excitement,Civil,CART,FALSE,35,58,60.34%,1
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,appreciation_excitement,Appreciation and excitement,Civil,KNN,TRUE,19,58,32.76%,1
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,appreciation_excitement,Appreciation and excitement,Civil,KNN,FALSE,39,58,67.24%,1
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,appreciation_excitement,Appreciation and excitement,Civil,LR,TRUE,25,58,43.10%,1
rq3_train_lkml_test_gh_civil_uncivil,Train on code reviews and test on issues,appreciation_excitement,Appreciation and excitement,Civil,LR,FALSE,33,58,56.90%,1
